Date,symbol,open,high,low,Adj Close,Volume ETH,Volume USDT,tradecount
2/3/2019 0:00,ETH/USDT,110.41,111.11,105.82,107.36,227211.5406,24605892.29,78309
2/4/2019 0:00,ETH/USDT,107.33,109.3,106.57,107.68,160850.1029,17312736.6,65698
2/5/2019 0:00,ETH/USDT,107.65,108.18,106.47,107.27,159730.1886,17137008.25,68422
2/6/2019 0:00,ETH/USDT,107.28,107.83,101.21,104.5,337204.3025,34984364.3,113955
2/7/2019 0:00,ETH/USDT,104.49,106.18,103.82,104.48,147942.0768,15530160.65,68959
2/8/2019 0:00,ETH/USDT,104.48,123,103.41,119.25,589950.6493,67027886.94,177364
2/9/2019 0:00,ETH/USDT,119.32,121.99,117.64,119.19,328067.9574,39061582.39,118457
2/10/2019 0:00,ETH/USDT,119.19,126.49,115.81,125.12,385819.0962,45929459.13,146060
2/11/2019 0:00,ETH/USDT,125.12,125.28,119.24,120.89,389405.304,47197595.85,129000
2/12/2019 0:00,ETH/USDT,120.88,123.89,118.18,122.41,343765.6699,41603632.81,114396
2/13/2019 0:00,ETH/USDT,122.4,126.47,120.7,121.86,317827.3196,39073077.84,122122
2/14/2019 0:00,ETH/USDT,121.86,124.5,120.1,120.42,297205.7874,36278326.08,101574
2/15/2019 0:00,ETH/USDT,120.47,124.25,120.19,121.67,255296.0814,31111280.21,100464
