Name,Code,Date,Open,Close,High,Low,Volume,First,Last
S*Mobarakeh Steel-a,FOLD,20181230,1551,1567.23,1576,1555,13595634,1564.69,1558.01
S*Mobarakeh Steel-a,FOLD,20181231,1567,1554.51,1571,1536,13372959,1562.78,1535.75
S*Mobarakeh Steel-a,FOLD,20190101,1555,1530.03,1557,1514,11009272,1554.51,1516.67
S*Mobarakeh Steel-a,FOLD,20190102,1530,1510.63,1554,1477,19906632,1499.19,1491.24
S*Mobarakeh Steel-a,FOLD,20190105,1511,1495.69,1522,1485,9196638,1521.76,1484.88
S*Mobarakeh Steel-a,FOLD,20190106,1496,1496.01,1523,1477,11815119,1476.93,1500.14
S*Mobarakeh Steel-a,FOLD,20190107,1496,1526.85,1558,1498,16106344,1513.18,1525.89
S*Mobarakeh Steel-a,FOLD,20190108,1527,1556.74,1568,1528,19539442,1529.39,1558.01
S*Mobarakeh Steel-a,FOLD,20190109,1557,1572.32,1588,1564,10264412,1564.69,1570.73
S*Mobarakeh Steel-a,FOLD,20190112,1572,1570.09,1580,1555,7904697,1574.22,1561.19
S*Mobarakeh Steel-a,FOLD,20190113,1570,1582.49,1607,1543,24499175,1543.06,1581.22
S*Mobarakeh Steel-a,FOLD,20190114,1582,1599.66,1616,1589,13556723,1599.03,1595.53
S*Mobarakeh Steel-a,FOLD,20190115,1600,1624.14,1634,1600,18344147,1600.30,1627.96
S*Mobarakeh Steel-a,FOLD,20190116,1624,1622.87,1633,1617,19451360,1629.55,1624.78
S*Mobarakeh Steel-a,FOLD,20190119,1623,1623.19,1627,1617,10085060,1624.46,1623.83
S*Mobarakeh Steel-a,FOLD,20190120,1623,1600.30,1623,1582,14968653,1612.06,1599.34
S*Mobarakeh Steel-a,FOLD,20190121,1600,1579.95,1622,1560,22530670,1591.08,1581.22
S*Mobarakeh Steel-a,FOLD,20190122,1580,1585.35,1600,1580,9383440,1588.21,1583.13
S*Mobarakeh Steel-a,FOLD,20190123,1585,1584.08,1615,1565,13660741,1591.39,1567.55
S*Mobarakeh Steel-a,FOLD,20190126,1584,1567.55,1589,1552,9263104,1589.49,1558.01
S*Mobarakeh Steel-a,FOLD,20190127,1568,1526.21,1558,1505,22111859,1557.69,1510.00
S*Mobarakeh Steel-a,FOLD,20190128,1526,1515.08,1550,1502,10430587,1542.11,1508.72
S*Mobarakeh Steel-a,FOLD,20190129,1515,1524.30,1542,1501,11899865,1500.78,1525.89
S*Mobarakeh Steel-a,FOLD,20190130,1524,1555.15,1564,1539,11298814,1558.01,1546.88
S*Mobarakeh Steel-a,FOLD,20190202,1555,1546.24,1564,1523,7118939,1560.55,1526.21
